trafficlightcount,numspots,stname
3,70,annette st
1,4,arlington ave
1,45,augusta ave
5,164,avenue rd
6,578,bathurst st
4,724,bay st
4,116,bayview ave
5,24,berkeley st
3,42,beverley st
1,12,birmingham st
3,144,bloor st e
16,1716,bloor st w
1,56,bond st
2,132,bremner blvd
7,150,broadview ave
1,2,broadway ave
1,16,brock ave
1,72,carlaw ave
1,212,carlton st
1,8,cecil st
1,2,cedarvale ave
1,20,chaplin cres
1,40,charles st e
1,2,chatham ave
2,74,cherry st
7,317,church st
1,28,colborne lodge dr
5,1357,college st
1,28,concord ave
2,8,cosburn ave
1,16,cowan ave
2,70,coxwell ave
1,8,crescent rd
2,50,dan leckie way
16,1011,danforth ave
1,214,davenport rd
1,30,davisville ave
2,12,dawes rd
1,8,delaware ave
1,20,don mills rd
1,50,donlands ave
1,4,dorval rd
1,104,dovercourt rd
12,177,dufferin st
11,224,dundas st e
5,1452,dundas st w
9,2,duplex ave
3,385,dupont st
1,14,durie st
6,98,eastern ave
1,93,eglinton ave e
1,152,elizabeth st
1,6,ellis park rd
1,9,emerson ave
2,2,erskine ave
1,6,euclid ave
1,2,fairford ave
5,24,finch ave w
1,66,fort york blvd
1,1,frederick st
3,383,front st e
5,28,geary ave
3,48,george st
1,10,george st s
3,469,gerrard st e
1,34,gladstone ave
1,1,glenlake ave
1,12,grace st
1,6,greenwood ave
1,4,hamilton st
1,21,high park ave
1,2,hoskin ave
2,18,howard park ave
1,24,howard st
1,10,huntley st
1,54,isabella st
3,22,islington ave
3,42,jane st
1,132,jarvis st
1,92,john st
1,10,jones ave
9,68,keele st
1,14,kennedy park rd
1,412,king st e
1,850,king st w
10,152,kingston rd
1,304,lake shore blvd w
1,105,lansdowne ave
4,42,lawrence ave e
3,16,lawrence ave w
5,6,leslie st
4,16,logan ave
2,33,lower jarvis st
1,6,lower sherbourne st
1,30,lower simcoe st
1,24,macpherson ave
1,45,madison ave
3,70,main st
1,52,manning ave
3,36,market st
2,6,markham rd
1,2,marlee ave
2,12,mccowan rd
1,48,merton st
2,147,mill st
1,6,montrose ave
1,18,morningside ave
1,4,mortimer ave
7,116,mount pleasant rd
1,8,munro st
1,4,neilson rd
1,4,north york blvd
1,2,oakmount rd
3,78,oakwood ave
5,30,ontario st
1,2,orchard view blvd
2,162,ossington ave
1,107,pape ave
2,6,parkside dr
10,224,parliament st
1,14,pembroke st
1,16,plains rd
1,24,princess st
1,18,quebec ave
2,1139,queen st e
3,1453,queen st w
1,28,regent st
1,86,richmond st e
1,4,ritchie ave
5,30,river st
1,12,robert st
1,4,roehampton ave
3,16,rogers rd
2,308,roncesvalles ave
1,2,rosehill ave
1,6,roxborough st e
1,4,roxborough st w
1,35,royal york rd
3,10,runnymede rd
1,42,russell st
1,16,sackville st
1,3,salem ave
9,2,sammon ave
2,2,scarlett rd
1,6,scott rd
3,7,scott st
1,33,shaw st
1,25,sheppard ave e
2,228,sherbourne st
7,74,shuter st
1,2,silverthorn ave
1,30,sorauren ave
4,2,soudan ave
1,639,spadina ave
3,99,spadina rd
1,61,st clair ave e
2,449,st clair ave w
1,260,st george st
1,20,strachan ave
4,30,sumach st
2,12,symington ave
10,159,the esplanade
1,14,the queensway
3,30,trinity st
3,492,university ave
1,6,upton rd
1,64,vaughan rd
5,23,victoria park ave
1,4,wales ave
1,10,wallace ave
2,36,wellesley st w
3,82,weston rd
4,28,wilson ave
2,4,wilton st
3,8,windermere ave
3,8,winona dr
4,32,woodbine ave
3,2,woodfield rd
19,1434,yonge st
1,89,york st
1,70,yorkville ave
